padecimiento,entidad,sexo,motor_productivo,criterio_seleccion,motores_evaluados,smape_prophet,mase_prophet,smape_ensemble,mase_ensemble,smape_stacking,mase_stacking
Obesidad,Tabasco,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",30.52117943809245,1.0056705009030509,21.55500491813534,0.7330539401764022,39.3566340692245,1.1938276791826432
Obesidad,Tabasco,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",31.325260294606014,1.0117970478202714,21.56657563262289,0.6512381069526513,36.8014538474202,1.00019607128523
Obesidad,Tabasco,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",31.69351271168619,0.9530941437782356,19.71027272654058,0.6930536020294548,34.86828720972339,1.096029881729478
Obesidad,Tamaulipas,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",26.85130618376978,0.7192346095986804,17.551598333088254,0.6119363208616366,16.356674098981692,0.5740477466020762
Obesidad,Tamaulipas,hombres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",23.295282995326787,0.6611506281651648,19.07629856400091,0.673605159906998,16.660926277406528,0.5938111374538407
Obesidad,Tamaulipas,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.051266182648796,0.6933661422275657,19.02057362957511,0.6282362656746218,17.107404372718925,0.574153228377253
Obesidad,Tlaxcala,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",43.0633839863973,1.0480799992495264,47.35963707062903,0.7305442469307494,48.48497956902492,0.780476299414321
Obesidad,Tlaxcala,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",45.56259093602618,1.0306548314104695,30.127067354920413,0.503343499236016,53.289751285724385,0.8168921285069165
Obesidad,Tlaxcala,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",43.68357903086532,1.0536615128105231,61.112548237223706,0.9101541528838304,51.916910194585384,0.8060927200012366
Obesidad,Veracruz,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",31.67600332138279,1.1439807160182212,35.353989580953005,1.1800747622937326,53.53158879014542,1.6508474791459935
Obesidad,Veracruz,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",30.086544760911252,1.0441348091070917,29.675421138110817,0.9858460707711768,56.39607436684234,1.6323127836129114
Obesidad,Veracruz,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",31.516348455272627,1.152134078936197,45.46115553982715,1.454312042683728,49.33926518783894,1.5699912329140882
Obesidad,Yucatán,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",29.177533001541665,0.6415211617338927,20.15592356079295,0.6939063652066838,29.90732539711356,0.9598172870729808
Obesidad,Yucatán,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",32.117618473150024,0.6904703512322489,21.369218913284215,0.65818074485837,28.640911977349305,0.8366207001877342
Obesidad,Yucatán,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",28.872994771429024,0.6330250286290626,22.791289431476,0.7880411706348373,31.81434289863605,1.0339153418321436
Obesidad,Zacatecas,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",20.742273479009263,0.5349796998266846,28.13483915455117,0.9237828757236992,31.510606916231655,1.02467289797479
Obesidad,Zacatecas,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",26.29235167363632,0.6126787465253968,30.305687352148947,0.8640322245079668,44.37123567540537,1.1790741754844407
Obesidad,Zacatecas,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",21.870430308272702,0.5426172065721611,31.285620122525653,1.0071466667000444,30.05056833637185,0.9774361352261036
Obesidad,region_Metropolitana alta,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",38.613553257978225,1.511225826330515,28.75341596465888,1.108136160675872,46.7537552088623,1.639992364194696
Obesidad,region_Metropolitana alta,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",34.247905868617714,1.4025438737407208,31.7956893804179,1.180347898376238,46.335068032830854,1.595087633606446
Obesidad,region_Metropolitana alta,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",36.05683578764324,1.4091641482648856,29.57728967845591,1.1379082261272506,48.14464705080835,1.6822394520846564
Obesidad,region_Rural / dispersa,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",30.278744059746767,1.1756459089883913,27.308313949371055,1.0312759442528991,39.80216610540837,1.418201049639806
Obesidad,region_Rural / dispersa,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.293807141759046,1.0350308360760876,23.903282107215603,0.8545039851172439,37.69570487149952,1.257139480886028
Obesidad,region_Rural / dispersa,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",28.58654995349359,1.1456171332783731,23.192066177102593,0.9255188740217696,35.36512948331868,1.331028458201623
