padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_total,0.02455754909697421,0.02131946233081602,999.0,0.7456591588326796,False,multiplicative,0.03,0.05,regional,normal,0.64,18.3,1.2,19.5,3082841,True,Prophet_Alzheimer_Hidalgo_general.pkl,,Hidalgo
Alzheimer,incrementos_hombres,0.017794494081669967,0.014794269365455831,999.0,0.737115214887071,False,multiplicative,0.03,0.05,regional,normal,1.83,20.3,2.1,22.4,8348151,True,Prophet_Alzheimer_Jalisco_hombres.pkl,,Jalisco
Alzheimer,incrementos_mujeres,0.023994634649521864,0.019717585381071344,999.0,0.8405718540596598,False,multiplicative,0.01,0.1,regional,normal,2.7,20.0,1.2,21.2,8348151,True,Prophet_Alzheimer_Jalisco_mujeres.pkl,,Jalisco
Alzheimer,incrementos_total,0.032844188306707385,0.02697964700426298,612.4200808645948,0.8134669645845539,True,multiplicative,0.03,0.05,regional,normal,4.53,21.1,1.0,22.2,8348151,True,Prophet_Alzheimer_Jalisco_general.pkl,,Jalisco
Alzheimer,incrementos_hombres,0.015351227318760883,0.01365885266508079,999.0,0.890801560425735,False,multiplicative,0.03,0.05,regional,normal,0.59,17.9,0.9,18.9,4748846,True,Prophet_Alzheimer_Michoacan_hombres.pkl,,Michoacán
Alzheimer,incrementos_mujeres,0.022715650369713118,0.01769287934020866,999.0,0.8345212414448012,False,multiplicative,0.01,0.1,regional,normal,0.83,18.7,0.7,19.4,4748846,True,Prophet_Alzheimer_Michoacan_mujeres.pkl,,Michoacán
Alzheimer,incrementos_total,0.02887283540886158,0.024349794972784576,999.0,0.8117666066081164,False,multiplicative,0.03,0.05,regional,normal,1.42,18.1,1.6,19.6,4748846,True,Prophet_Alzheimer_Michoacan_general.pkl,,Michoacán
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.38,0.0,0.8,0.8,1971520,True,Prophet_Alzheimer_Morelos_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Morelos
Alzheimer,incrementos_mujeres,0.035021966497725446,0.029621254830725117,999.0,0.8169541212689431,False,multiplicative,0.03,0.05,regional,normal,0.53,18.9,0.8,19.7,1971520,True,Prophet_Alzheimer_Morelos_mujeres.pkl,,Morelos
Alzheimer,incrementos_total,0.048485436561701234,0.0368313591984365,999.0,0.6693423962525455,False,multiplicative,0.03,0.05,regional,normal,0.92,18.4,0.7,19.1,1971520,True,Prophet_Alzheimer_Morelos_general.pkl,,Morelos
