numero,padecimiento,entidad,sexo,prophet_rmse,prophet_mae,prophet_smape,prophet_mase,deepar_rmse,deepar_mae,deepar_smape,deepar_mase,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_mase,stacking_rmse,stacking_mae,stacking_smape,stacking_mase,mejor_rmse,mejor_mae,mejor_smape,mejor_mase,victorias,modelo_produccion,justificacion
138,Depresión,Coahuila,general,21.7924,18.1401,34.7163,0.9204,2.6907,1.0173,2.1463,0.0507,17.1115,13.9642,25.5896,0.693,18.3484,14.2823,27.1849,0.7088,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.69 (vs Ensemble 17.11). Gana en 4/4 metricas. MASE=0.05 supera naive seasonal.
139,Depresión,Colima,hombres,7.0872,5.672,48.8593,1.7302,2.6342,1.0519,5.9874,0.2508,11.6637,10.0597,66.1107,2.3923,10.2103,8.4051,40.8978,1.9988,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.63 (vs Prophet 7.09). Gana en 4/4 metricas. MASE=0.25 supera naive seasonal.
140,Depresión,Colima,mujeres,11.736,9.3014,35.1043,1.1144,4.2822,1.4656,4.4089,0.1566,13.5693,12.1347,38.1378,1.2967,14.2133,11.3617,29.9513,1.2141,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.28 (vs Prophet 11.74). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
141,Depresión,Colima,general,17.625,14.2564,36.4899,1.3721,7.0182,3.7003,7.6308,0.299,23.0837,19.8365,41.1039,1.6029,23.6884,18.9339,32.1198,1.53,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 7.02 (vs Prophet 17.62). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
142,Depresión,Durango,hombres,7.0506,5.8923,31.1991,0.7524,1.1269,0.4365,2.5175,0.0566,9.1482,7.3237,35.7796,0.9421,9.3077,7.7393,37.4156,0.9955,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.13 (vs Prophet 7.05). Gana en 4/4 metricas. MASE=0.06 supera naive seasonal.
143,Depresión,Durango,mujeres,23.7515,18.6911,30.7702,0.9398,16.3089,9.2826,16.8952,0.4599,25.8827,21.2133,34.5221,1.0489,27.4414,22.5847,35.9488,1.1167,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 16.31 (vs Prophet 23.75). Gana en 4/4 metricas. MASE=0.46 supera naive seasonal.
144,Depresión,Durango,general,28.5649,23.0179,29.0509,0.9078,18.7811,10.4551,12.9093,0.4082,32.3974,25.5286,30.6701,0.9926,34.7146,28.6454,33.6042,1.1138,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 18.78 (vs Prophet 28.56). Gana en 4/4 metricas. MASE=0.41 supera naive seasonal.
145,Depresión,Guanajuato,hombres,6.7424,5.4145,25.653,0.9729,1.5396,0.9906,3.664,0.1676,7.0593,4.7784,19.0868,0.8085,7.1622,5.4284,21.5621,0.9185,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.54 (vs Prophet 6.74). Gana en 4/4 metricas. MASE=0.17 supera naive seasonal.
146,Depresión,Guanajuato,mujeres,21.6008,16.966,21.296,0.9994,4.0887,2.0605,3.2097,0.1125,24.5815,20.6866,23.6168,1.1294,18.7079,15.0382,18.0393,0.821,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.09 (vs Stacking 18.71). Gana en 4/4 metricas. MASE=0.11 supera naive seasonal.
147,Depresión,Guanajuato,general,26.3087,20.5136,19.9714,0.9951,3.0375,1.7651,1.9422,0.0807,28.9655,24.4636,21.7128,1.1188,22.7653,17.7801,16.4689,0.8131,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.04 (vs Stacking 22.77). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
