entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Nayarit,mujeres,False,22.29734451889437,deepar,22.29734451889437,deepar,29.364916906441728,prophet,22.29734451889437,deepar,22.29734451889437,deepar,29.364916906441728,prophet,22.29734451889437,deepar,49.829015870633775,ensemble,50.443790322195085,stacking
Nayarit,general,False,32.53906551089866,deepar,32.53906551089866,deepar,27.98433695802708,prophet,32.53906551089866,deepar,32.53906551089866,deepar,27.98433695802708,prophet,32.53906551089866,deepar,42.3161771102068,ensemble,45.33334458840912,stacking
Nuevo León,hombres,False,26.70277220601114,deepar,26.70277220601114,deepar,30.37768446768166,prophet,26.70277220601114,deepar,26.70277220601114,deepar,30.37768446768166,prophet,26.70277220601114,deepar,28.352669603519203,ensemble,28.71007847766473,stacking
Nuevo León,mujeres,False,36.116659072439425,deepar,36.116659072439425,deepar,30.060142201623474,prophet,36.116659072439425,deepar,36.116659072439425,deepar,30.060142201623474,prophet,36.116659072439425,deepar,27.917883677666566,ensemble,27.76969011745522,stacking
Nuevo León,general,False,30.290423335412918,deepar,30.290423335412918,deepar,35.2089288879491,prophet,30.290423335412918,deepar,30.290423335412918,deepar,35.2089288879491,prophet,30.290423335412918,deepar,26.711353407344152,ensemble,33.60526885225794,stacking
Oaxaca,hombres,False,27.78431217726763,deepar,27.78431217726763,deepar,50.78792492717046,prophet,27.78431217726763,deepar,27.78431217726763,deepar,50.78792492717046,prophet,27.78431217726763,deepar,83.74307313984032,ensemble,57.53800104744713,stacking
Oaxaca,mujeres,False,36.4911687977049,deepar,36.4911687977049,deepar,27.631601209116695,stacking,36.4911687977049,deepar,36.4911687977049,deepar,22.764101734573572,prophet,36.4911687977049,deepar,21.01137153411285,ensemble,27.631601209116695,stacking
Oaxaca,general,False,20.282548196215497,deepar,20.282548196215497,deepar,29.242280595266834,prophet,20.282548196215497,deepar,20.282548196215497,deepar,29.242280595266834,prophet,20.282548196215497,deepar,33.02745009407199,ensemble,33.188290093299486,stacking
Puebla,hombres,False,52.4791420935669,deepar,52.4791420935669,deepar,35.250213907940854,prophet,52.4791420935669,deepar,52.4791420935669,deepar,35.250213907940854,prophet,52.4791420935669,deepar,43.01421840566832,ensemble,39.92057846381236,stacking
Puebla,mujeres,False,53.40771199394106,deepar,53.40771199394106,deepar,39.438629421269546,prophet,53.40771199394106,deepar,53.40771199394106,deepar,39.438629421269546,prophet,53.40771199394106,deepar,51.667594475761724,ensemble,60.8865825298764,stacking
