ds,entidad,padecimiento,meta_modo,yhat
2026-05-04,México,Parkinson,general,9
2026-05-04,México,Parkinson,hombres,2
2026-05-04,México,Parkinson,mujeres,5
2026-05-11,México,Parkinson,general,8
2026-05-11,México,Parkinson,hombres,5
2026-05-11,México,Parkinson,mujeres,3
2026-05-18,México,Parkinson,general,8
2026-05-18,México,Parkinson,hombres,2
2026-05-18,México,Parkinson,mujeres,3
2026-05-25,México,Parkinson,general,7
2026-05-25,México,Parkinson,hombres,5
2026-05-25,México,Parkinson,mujeres,3
2026-06-01,México,Parkinson,general,10
2026-06-01,México,Parkinson,hombres,3
2026-06-01,México,Parkinson,mujeres,4
2026-06-08,México,Parkinson,general,8
2026-06-08,México,Parkinson,hombres,6
2026-06-08,México,Parkinson,mujeres,5
2026-06-15,México,Parkinson,general,8
2026-06-15,México,Parkinson,hombres,3
2026-06-15,México,Parkinson,mujeres,3
2026-06-22,México,Parkinson,general,7
2026-06-22,México,Parkinson,hombres,5
2026-06-22,México,Parkinson,mujeres,3
2026-06-29,México,Parkinson,general,8
2026-06-29,México,Parkinson,hombres,3
2026-06-29,México,Parkinson,mujeres,4
2026-07-06,México,Parkinson,general,9
2026-07-06,México,Parkinson,hombres,5
2026-07-06,México,Parkinson,mujeres,3
2026-07-13,México,Parkinson,general,9
2026-07-13,México,Parkinson,hombres,6
2026-07-13,México,Parkinson,mujeres,4
2026-07-20,México,Parkinson,general,6
2026-07-20,México,Parkinson,hombres,3
2026-07-20,México,Parkinson,mujeres,4
2026-07-27,México,Parkinson,general,8
2026-07-27,México,Parkinson,hombres,2
2026-07-27,México,Parkinson,mujeres,3
2026-08-03,México,Parkinson,general,9
2026-08-03,México,Parkinson,hombres,5
2026-08-03,México,Parkinson,mujeres,2
2026-08-10,México,Parkinson,general,9
2026-08-10,México,Parkinson,hombres,4
2026-08-10,México,Parkinson,mujeres,4
2026-08-17,México,Parkinson,general,7
2026-08-17,México,Parkinson,hombres,3
2026-08-17,México,Parkinson,mujeres,5
2026-08-24,México,Parkinson,general,6
2026-08-24,México,Parkinson,hombres,3
2026-08-24,México,Parkinson,mujeres,5
2026-08-31,México,Parkinson,general,8
2026-08-31,México,Parkinson,hombres,3
2026-08-31,México,Parkinson,mujeres,7
2026-09-07,México,Parkinson,general,8
2026-09-07,México,Parkinson,hombres,5
2026-09-07,México,Parkinson,mujeres,3
2026-09-14,México,Parkinson,general,7
2026-09-14,México,Parkinson,hombres,7
2026-09-14,México,Parkinson,mujeres,3
2026-09-21,México,Parkinson,general,5
2026-09-21,México,Parkinson,hombres,3
