ds,y,yhat,yhat_lower,yhat_upper
2019-01-21,39.0,41.85694500687852,30.60345366614445,53.43217660389192
2019-01-28,43.0,41.62738322540646,29.83528603218448,53.27373587267
2019-02-04,38.0,41.515281186506684,29.934103466119037,52.66178948417041
2019-02-11,55.0,42.86783790463384,31.85699322813703,53.37965246928333
2019-02-18,61.0,45.27270076331369,32.931019198904316,56.021964892456886
2019-02-25,57.0,47.034759236436464,35.76164310413744,58.580434894653415
2019-03-04,61.0,46.79029199735354,35.46863385050537,57.64803681142929
2019-03-11,56.0,44.62610169575557,33.20639556177855,55.992906789981774
2019-03-18,43.0,41.81005005031461,30.552923235876104,53.46310329855561
2019-03-25,56.0,39.663375092431465,29.153737099808225,50.33461024329051
2019-04-01,43.0,38.71239344956981,28.32663798930544,50.38592283295857
2019-04-08,52.0,38.68724768158104,28.130797698814714,50.30017525887255
2019-04-15,37.0,39.05605919781411,27.873189134388554,49.126072186792555
2019-04-22,41.0,39.4850513222506,28.79399935198037,51.955399659002424
2019-04-29,43.0,39.92827987413168,28.792089224001376,50.87401370708586
2019-05-06,54.0,40.441577384119526,28.529642995104965,51.733940587294086
2019-05-13,55.0,40.958042853850834,29.700873164115485,52.458453402633026
2019-05-20,49.0,41.2300997313146,30.25112376405568,52.23067489676321
2019-05-27,58.0,41.03354205010927,30.645610770400836,52.52120441723067
2019-06-03,41.0,40.499983826520975,30.066085115185384,51.46191106574352
2019-06-10,52.0,40.199484318932235,28.47215973082573,52.11653219784988
2019-06-17,58.0,40.69123579934499,29.45860558793384,51.610020987429436
2019-06-24,51.0,41.82589369547549,30.60554113269074,53.406637286526994
2019-07-01,55.0,42.580542816208656,31.294513529487592,53.468382344914616
2019-07-08,55.0,41.88637255010545,30.400864191413117,53.5392559192349
2019-07-15,50.0,39.83844136708857,29.28645066181077,51.13519501298377
2019-07-22,50.0,37.985644829781364,26.40354296500185,48.78823394171762
2019-07-29,45.0,38.09701384916136,26.554963396706963,48.36283510834222
2019-08-05,46.0,40.40762006798631,29.60415426674136,52.35000862530063
2019-08-12,57.0,43.138657200144074,32.08135174112784,54.4164983177291
2019-08-19,49.0,43.98201701512188,32.55893104792519,55.348352341860675
2019-08-26,58.0,42.225831500363036,30.575611243869105,54.566501565672105
2019-09-02,51.0,39.43055577540498,28.638683092551044,50.699327390982965
2019-09-09,38.0,37.97563948244533,26.43278057147251,50.38150637196524
2019-09-16,35.0,38.93609486755855,27.463941910463195,50.685750896805935
2019-09-23,50.0,41.335509960214836,30.35405432142578,52.996947691647556
2019-09-30,58.0,43.29272421448115,32.449782179814164,54.39136663713973
2019-10-07,54.0,43.685248982867364,32.81035983861479,55.05635648795701
2019-10-14,48.0,42.71595294492111,32.014049648718114,53.98315568190014
2019-10-21,49.0,41.212428682056604,29.263359565346875,53.41060602051815
2019-10-28,38.0,39.782403901318936,27.934847279789476,50.852076650850904
2019-11-04,50.0,38.6928632215781,26.86560124646819,48.73903936336741
2019-11-11,50.0,38.1513790841782,26.667233505742825,49.06076935559836
2019-11-18,43.0,38.21266423244379,27.459333046909826,49.581793751031476
2019-11-25,41.0,38.33816751521091,26.93325737688043,49.90629196220256
2019-12-02,52.0,37.465748303870875,25.369631594230682,48.74909495627791
2019-12-09,48.0,34.99617994404768,23.915887044128414,45.91351368467923
2019-12-16,41.0,31.8028337253452,20.84412553341327,44.09566329350437
2019-12-23,30.0,29.93751620550924,19.383291999351908,41.38856382711681
2019-12-30,39.0,30.948710532708937,20.698095938466157,42.25748895370233
2020-01-06,46.0,34.3679865757872,23.582080025602295,45.857417345415165
2020-01-13,51.0,37.992810178686724,27.364251358964502,49.08915443565497
2020-01-20,53.0,39.82513796224621,28.490436149548415,50.05747548401956
2020-01-27,46.0,39.78294441232282,29.415936822948442,50.86644123777252
2020-02-03,38.0,39.51234461730602,27.853344298321513,49.970825042411725
2020-02-10,53.0,40.57839510158219,29.23519100349889,51.746515870415756
2020-02-17,48.0,42.901635471464054,31.585490940461284,54.31851221474674
2020-02-24,48.0,44.90972991491254,33.749975966536816,56.35865847788229
2020-03-02,47.0,45.06356272642826,33.96696988114553,55.82810466915043
2020-03-09,55.0,43.17021444305122,32.46607066217707,53.64243580791054
2020-03-16,35.0,40.35974653553201,29.222307995877742,50.94862372762647
2020-03-23,43.0,38.02713203807681,27.10898246094659,48.87688699188881
2020-03-30,22.0,36.86518066858164,25.473411829828795,47.48359212021834
2020-04-06,20.0,36.71400818207494,25.659362086414585,48.14299528263155
2020-04-13,13.0,37.046052185441894,25.743751808948584,47.59892636429404
2020-04-20,22.0,37.47447907577098,25.87304975041736,48.182412186280175
2020-04-27,19.0,37.910641243805095,26.769355599874178,49.333608594877106
2020-05-04,16.0,38.41064138577014,26.615554599854768,48.97769990254034
2020-05-11,17.0,38.94066990341123,28.026418096405603,50.41404379428124
2020-05-18,19.0,39.277921850241064,28.09693853887041,50.38992406178424
2020-05-25,9.0,39.16935067784913,27.3745569982081,50.888419997797754
2020-06-01,12.0,38.66406338173937,26.912816515015816,50.47961536319134
2020-06-08,17.0,38.2710752503994,27.516522799413448,49.273411931807175
2020-06-15,20.0,38.60442753680978,26.920357196664742,49.54467258055082
2020-06-22,15.0,39.67947504007534,28.70484640059523,50.92197139586592
2020-06-29,15.0,40.59606792700275,29.43591972250819,52.23856340177896
2020-07-06,17.0,40.199621265458674,28.749702082481413,50.8427738221779
2020-07-13,18.0,38.31356064036186,27.495627768449445,49.61560626138476
2020-07-20,17.0,36.28861563534802,25.233762550605892,47.19100679113257
2020-07-27,18.0,35.98098251253308,24.96080979128228,47.3289157152544
2020-08-03,14.0,37.99184929373494,26.381082992091365,49.43338655240319
2020-08-10,21.0,40.843132666705785,29.254388571497373,51.7616677001197
2020-08-17,23.0,42.154628952580396,31.144915760104276,53.17728803806543
2020-08-24,18.0,40.81613836029833,28.79090513474474,51.67920074959468
2020-08-31,20.0,38.03629121069813,27.28468425259558,49.02288143881186
2020-09-07,15.0,36.214813902159264,25.193339248904802,47.7356168654321
2020-09-14,13.0,36.773702582104924,25.43490755991234,47.97910139526243
2020-09-21,21.0,39.06334453037348,27.66882411904263,50.30050282220309
2020-09-28,27.0,41.23119878908327,30.305431954763787,52.97241866542966
2020-10-05,27.0,41.93334036024513,30.58220646010332,53.31099213992522
2020-10-12,25.0,41.1616892226841,30.305183573772396,52.312295494360775
2020-10-19,30.0,39.707394899137746,28.73937570076993,51.01728163831209
2020-10-26,32.0,38.24968584707796,27.175468031185968,48.677505157072105
2020-11-02,23.0,37.09579154041522,26.232210647121317,48.622427043987514
2020-11-09,28.0,36.45342834902013,25.6270659109131,47.74384134188441
2020-11-16,27.0,36.43599220688516,25.005539381850102,47.413827821663126
2020-11-23,34.0,36.632416403879816,25.15041018660176,48.27420995681782
2020-11-30,31.0,36.023719761383795,24.991606505742578,46.632246959434596
2020-12-07,29.0,33.85037099799396,22.364095526169287,45.26596283131143
2020-12-14,27.0,30.679425435796503,19.391003853651466,41.33629542755327
2020-12-21,23.0,28.44891295298919,17.058561636733046,40.0221478914996
2020-12-28,13.0,28.94014469852044,17.116809567474704,39.58167753257167
2021-01-04,19.0,32.08717147940611,20.385453633303324,42.975551539975946
2021-01-11,14.0,35.88413152464578,24.391944301236016,46.61435303907713
2021-01-18,19.0,38.134739816162465,25.49706907520834,49.36312946273157
2021-01-25,20.0,38.364306609795264,27.772138360016303,49.57600740097587
2021-02-01,24.0,38.016207118227435,27.191190484302332,48.811109126519575
2021-02-08,28.0,38.819145957502954,27.453891568600266,50.493950090626086
2021-02-15,23.0,41.032518575887075,29.737421725466277,51.8730509173666
2021-02-22,32.0,43.26022466016322,33.019699804273216,54.20698967172263
2021-03-01,24.0,43.83288910118662,32.86849104884989,55.29305217403954
2021-03-08,37.0,42.276082272848356,31.449621534171357,53.54615583609023
2021-03-15,27.0,39.54492126396208,28.31597734777429,51.006759881487575
2021-03-22,28.0,37.07522460296489,25.647157485939005,48.92559790471638
2021-03-29,24.0,35.72218051179714,24.403985292640492,47.02951756735178
2021-04-05,32.0,35.45319179201791,24.241922751576748,46.73817201029094
2021-04-12,38.0,35.762235615746604,23.955386764170882,46.69716621325298
2021-04-19,31.0,36.21423103131314,25.79565893088589,47.47242467924783
2021-04-26,43.0,36.67547145780512,25.179297454201997,47.522358541223646
2021-05-03,31.0,37.19107618321522,26.18136496376016,47.728560398830496
2021-05-10,23.0,37.75680995359989,26.312916572798404,49.390532429479
2021-05-17,36.0,38.17987530066228,27.21559444435569,48.7982213786515
2021-05-24,34.0,38.18997739874299,27.210523862207705,49.260839370675185
2021-05-31,35.0,37.75982832577462,27.081909582693307,49.362897526524854
2021-06-07,35.0,37.325715735051446,25.67478128272595,49.5018025111013
2021-06-14,47.0,37.531912084566606,26.915236123319865,49.31054921710912
2021-06-21,39.0,38.54647853628084,26.498347584986252,49.34665676655313
2021-06-28,48.0,39.61418710101938,27.78307980797835,51.02548536119611
2021-07-05,47.0,39.53776246256267,28.056126297231796,50.429807521433794
2021-07-12,46.0,37.88878682605789,27.234368270551172,49.13663925708915
2021-07-19,41.0,35.76416255047293,24.56694333650728,45.92098898844931
2021-07-26,42.0,35.06680073740421,24.22854924697178,45.7817155703064
2021-08-02,30.0,36.73495182591948,25.262806170597703,47.43962710798554
2021-08-09,36.0,39.63170594029896,29.137569820481655,51.33113422353863
2021-08-16,36.0,41.38038430099522,29.82622893846402,52.15390037762764
2021-08-23,33.0,40.50908004240573,29.466953417975468,51.348509690786514
2021-08-30,34.0,37.835214498892626,26.094680682412683,49.383415985960774
2021-09-06,38.0,35.70326921132717,23.59525799512005,46.24151355511182
2021-09-13,37.0,35.84474379767111,24.493902654368082,46.96332919623141
2021-09-20,34.0,37.96800237321666,26.439701811243424,49.02208356563488
2021-09-27,38.0,40.30891985331982,28.844370828416658,51.99496160805674
2021-10-04,40.0,41.32982123025877,30.485680291110732,53.05957526680864
2021-10-11,38.0,40.79139886589019,28.88796757213484,51.71062101001297
2021-10-18,45.0,39.416167697492824,28.30776536471154,50.65115926291265
2021-10-25,42.0,37.94708379629354,26.848105255124725,49.562726108010374
2021-11-01,36.0,36.74294663376325,25.419650771453014,48.05421427806051
2021-11-08,41.0,36.01235610300681,24.83632259400096,47.460823326200185
2021-11-15,34.0,35.91116517296581,24.458353441140964,47.009118900503964
2021-11-22,29.0,36.15114082232234,24.448784522502798,47.10485711508469
2021-11-29,33.0,35.78558535049265,23.89894806336312,46.88555748475155
2021-12-06,38.0,33.903570617711566,22.17820973501666,45.64521957412064
2021-12-13,27.0,30.79797979454586,19.518837673285944,41.29862383042386
2021-12-20,27.0,28.240888536068745,17.306720567836322,39.593403018528434
2021-12-27,26.0,28.187128901807625,17.63042577523954,39.256728246561494
2022-01-03,29.0,30.96947898920148,19.540924607371046,41.86532292085102
2022-01-10,38.0,34.8395741288148,23.114473377824783,45.911618359709166
2022-01-17,43.0,37.46950398691772,26.564812310868945,49.505268915391376
2022-01-24,47.0,37.99848880086906,26.684380176083135,49.56853874875585
2022-01-31,33.0,37.6099398876152,26.52221932532467,49.19495729728605
2022-02-07,44.0,38.13522464390205,26.472464769359078,50.28664023094748
2022-02-14,45.0,40.166762254260576,28.111357917517577,51.43720247549427
2022-02-21,41.0,42.533266883812416,31.081564953485394,53.63221282385179
2022-02-28,46.0,43.485800926358856,32.55371713313694,55.12321576658792
2022-03-07,40.0,42.2756063199047,30.96243362237758,52.948537321556564
2022-03-14,52.0,39.64933030717058,28.60820021586327,51.04666925711386
2022-03-21,44.0,37.04729737858077,26.488194843037334,48.359044140141876
2022-03-28,34.0,35.477530530058246,23.82493923915366,46.479805157736465
2022-04-04,34.0,35.049746900006625,23.718111521875883,46.22523312522315
2022-04-11,26.0,35.29806503915368,24.037227025928804,46.037945941444356
2022-04-18,46.0,35.74636588503951,25.07979163677394,47.33443779264658
2022-04-25,40.0,36.20523987773932,24.65820856536996,47.58845987927242
2022-05-02,35.0,36.707042312171616,25.420543368200974,48.234315770319895
2022-05-09,35.0,37.2723673695367,25.57683805157376,48.41295240329442
2022-05-16,34.0,37.74201029921781,26.81183381681275,48.94897675436827
2022-05-23,51.0,37.83950954631117,26.419265468378153,48.18262324114029
2022-05-30,44.0,37.46939044337305,26.78932296366726,49.5381802003741
2022-06-06,41.0,36.98704514656716,25.68553245941664,48.53295806598634
2022-06-13,40.0,37.0432177057393,25.628840853296577,48.55464581186255
2022-06-20,46.0,37.94224982912422,27.541623958866825,49.05910518185134
2022-06-27,42.0,39.08962529402539,27.95165382591797,50.691198485173786
2022-07-04,49.0,39.2875013733584,28.430147391964784,51.507720183718504
2022-07-11,44.0,37.882913159416276,27.14657095630164,49.574445031829505
2022-07-18,51.0,35.70591278045889,24.67043112279869,46.60857748990698
2022-07-25,40.0,34.633510326287514,24.019306777454712,46.47044224460444
2022-08-01,39.0,35.90166696948031,24.685060018772568,47.1810489863464
2022-08-08,43.0,38.74311183618451,26.75900203255373,50.15367205249983
2022-08-15,45.0,40.85927293759537,30.33641807778759,51.822532887018504
2022-08-22,56.0,40.46487007864354,30.001477984650837,51.411909306216025
2022-08-29,34.0,37.95949124992189,26.9430975122155,49.23802165912396
2022-09-05,45.0,35.557787681338496,23.951039684155386,46.00906286787555
2022-09-12,36.0,35.25215040804508,23.953167198722014,47.83839461012481
2022-09-19,60.0,37.129033378589725,25.69762468489524,48.406033884493716
2022-09-26,49.0,39.57229101288594,28.08128768872834,50.929288655985474
2022-10-03,47.0,40.88692149507083,28.87894406614169,52.03873334599137
2022-10-10,38.0,40.589044873959025,29.71651847648031,51.810851211643296
