Padecimiento,Estado,Sexo,MAPE_CV,RMSE_CV,MAE_CV,MAPE_Train,N_Outliers
Alzheimer,San Luis Potosí,Hombres,56.56,0.6,0.51,65.64,0
Alzheimer,San Luis Potosí,Mujeres,45.15,0.74,0.65,52.0,0
Alzheimer,Sinaloa,Hombres,36.99,0.87,0.73,32.28,0
Alzheimer,Sinaloa,Mujeres,33.64,0.85,0.71,32.35,0
Alzheimer,Sonora,Hombres,39.8,0.79,0.68,41.92,0
Alzheimer,Sonora,Mujeres,35.32,0.86,0.73,32.8,0
Alzheimer,Tabasco,Hombres,49.3,0.7,0.62,59.88,0
Alzheimer,Tabasco,Mujeres,50.95,0.77,0.64,60.68,0
Alzheimer,Tamaulipas,Hombres,38.67,0.89,0.77,33.35,0
Alzheimer,Tamaulipas,Mujeres,36.09,0.88,0.74,31.82,0
Alzheimer,Tlaxcala,Hombres,83.79,0.37,0.25,87.74,0
Alzheimer,Tlaxcala,Mujeres,76.45,0.41,0.3,82.32,0
Alzheimer,Veracruz,Hombres,33.52,0.88,0.73,31.24,0
Alzheimer,Veracruz,Mujeres,34.42,0.86,0.69,31.57,0
Alzheimer,Yucatán,Hombres,77.79,0.57,0.42,71.08,0
Alzheimer,Yucatán,Mujeres,56.3,0.73,0.61,54.84,0
Alzheimer,Zacatecas,Hombres,83.85,0.35,0.24,85.6,0
Alzheimer,Zacatecas,Mujeres,79.27,0.44,0.31,81.35,0
