disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
alzheimer,Alzheimer,neuro,Oaxaca,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Oaxaca,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Puebla,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Puebla,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Puebla,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Querétaro,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Querétaro,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Querétaro,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Quintana Roo,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Quintana Roo,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Quintana Roo,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,San Luis Potosí,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,San Luis Potosí,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,San Luis Potosí,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Sinaloa,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Sinaloa,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Sinaloa,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Sonora,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Sonora,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Sonora,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Tabasco,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tabasco,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tabasco,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tamaulipas,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tamaulipas,mujeres,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Tamaulipas,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Tlaxcala,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tlaxcala,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Tlaxcala,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Veracruz,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Veracruz,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Veracruz,general,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Yucatán,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Yucatán,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Yucatán,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Zacatecas,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Zacatecas,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Zacatecas,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,region_Metropolitana alta,hombres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Metropolitana alta,mujeres,Stacking,tabla_333
alzheimer,Alzheimer,neuro,region_Metropolitana alta,general,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Rural / dispersa,hombres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Rural / dispersa,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Rural / dispersa,general,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Sur-Sureste vulnerable,hombres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Sur-Sureste vulnerable,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Sur-Sureste vulnerable,general,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Urbana media,hombres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Urbana media,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,region_Urbana media,general,DeepAR,tabla_333
depresion,Depresion,neuro,Nacional,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Nacional,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Nacional,general,DeepAR,tabla_333
depresion,Depresion,neuro,Aguascalientes,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Aguascalientes,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Aguascalientes,general,Stacking,tabla_333
depresion,Depresion,neuro,Baja California,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Baja California,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Baja California,general,Stacking,tabla_333
depresion,Depresion,neuro,Baja California Sur,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Baja California Sur,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Baja California Sur,general,Stacking,tabla_333
depresion,Depresion,neuro,Campeche,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Campeche,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Campeche,general,Stacking,tabla_333
depresion,Depresion,neuro,Chiapas,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Chiapas,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Chiapas,general,DeepAR,tabla_333
depresion,Depresion,neuro,Chihuahua,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Chihuahua,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Chihuahua,general,DeepAR,tabla_333
depresion,Depresion,neuro,Ciudad de México,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Ciudad de México,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Ciudad de México,general,DeepAR,tabla_333
